CustomerSeason,Product.Group,Item.Family,Category.Group,Product.Category,Gender,Fabrication,Shell.Fabric,Product.COO,Shell.Fabric.Unit.Cost,Shell.YY,Fabric.Cost,Trim.Cost,Artwork.Cost,Wash.Cost,CM.Cost,Other.Cost
SU15,,Apparel,Bottoms,Pants,Girls,WOVEN,"55% Linen 45% Rayon solid plain weave, 54X38/10X10, 52""",BANGLADESH,42.42,19.824,40.04448,26.46,0,6.93,34.86,0
SU15,,Apparel,Bottoms,Pants,Girls,WOVEN,"55% Linen 45% Rayon allover printed, 54X38/10X10, 52""",BANGLADESH,49.77,19.74,46.7838,26.25,0,6.72,34.776,0
SU15,,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Ctn peach twill reactive dye solid, 130X70/30X30, 56""",BANGLADESH,37.8,18.27,32.886,23.52,0,5.25,34.86,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Ctn peach twill printed, 130X70/30X30, 56""",BANGLADESH,49.56,18.27,43.1172,23.52,0,5.25,34.86,0
SU15,,,,,Girls,,"100% Ctn peach twill reactive dye solid, 130X70/30X30, 56""",,37.8,23.1,41.58,21.21,0,5.25,38.22,0
SU15,,,,,Girls,,"100% Ctn peach twill printed, 130X70/30X30, 56""",,49.266,23.1,54.1926,21,0,5.166,36.75,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Rayon Challis Solid, 30x30/68x68, 4.0 oz , 52""",BANGLADESH,30.45,15.12,21.924,16.8,0,4.62,21,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Rayon Challis printed, 30x30/68x68, 4.0 oz , 52""",BANGLADESH,35.7,16.233,27.5961,16.8,0,4.704,21,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Rayon Challis Solid, 30x30/68x68, 4.0 oz , 52""",BANGLADESH,30.45,16.8,24.36,15.75,0,3.36,22.68,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Rayon Challis Solid, 30x30/68x68, 4.0 oz , 52""",BANGLADESH,30.45,17.094,24.7863,15.75,0,3.36,27.93,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Rayon Challis printed, 30x30/68x68, 4.0 oz , 52""",BANGLADESH,35.7,18.354,31.2018,15.96,0,3.36,27.93,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Rayon Challis Solid, 30x30/68x68, 4.0 oz , 52""",BANGLADESH,30.45,18.354,26.6133,16.044,0,3.444,27.93,0
SU15,,Apparel,Bottoms,Pants,Girls,KNIT,"95% cotton 5% spandex French Terry 260 gsm,  Width: 68"" ",BANGLADESH,75.6,16.8,60.48,30.45,0,9.66,48.93,0
SP15,,,,,Men,,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",,27.3,32.55,42.315,45.57,0,0,39.9,0
SP15,,,,,Men,,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",,27.3,33.18,43.134,39.9,0,0,38.85,4.515
SP15,,,,,Men,,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",,27.3,32.34,42.042,37.8,0,0,38.85,0
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,27.3,31.71,41.223,36.75,0,0,36.75,4.515
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,27.3,31.08,40.404,36.75,0,0,35.7,0
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,27.3,29.82,38.766,36.75,0,0,35.7,0
SP15,,,,,Men,,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",,27.3,40.74,52.962,52.5,0,0,43.26,0
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,27.3,40.74,52.962,39.9,0,0,42,5.88
SP15,,,,,Men,,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",,27.3,42,54.6,39.27,0,0,43.05,0
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,27.3,39.06,50.778,45.15,0,0,40.95,5.88
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% 100% Polyester ,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,27.3,37.8,49.14,45.15,0,0,39.9,0
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,27.3,39.48,51.324,42.42,0,0,53.55,0
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,27.3,46.2,60.06,48.3,0,0,59.85,0
SP15,,Apparel,Bottoms,Pants,Men,WOVEN,"100% Cotton solid Ribstop 110x60/20x16
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,39.9,32.76,62.244,40.53,0,8.61,47.985,0
SP15,,Apparel,Bottoms,Pants,Men,WOVEN,"100% Cotton solid Ribstop 110x60/20x16
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,39.9,39.06,74.214,67.83,0,11.55,53.55,0
SP15,,Apparel,Bottoms,Pants,Men,WOVEN,"100% Cotton Camo printed Ribstop 110x60/20x16
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,43.05,32.76,67.158,40.53,0,8.61,47.88,0
SP15,,Apparel,Bottoms,Pants,Men,WOVEN,"100% Cotton Camo printed Ribstop 110x60/20x16
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,43.05,39.06,80.073,67.83,0,11.55,53.55,0
SP15,,Apparel,Bottoms,Pants,Men,WOVEN,"100% Cotton mini Herringbone 150x78/32x32
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,43.05,30.45,62.4225,31.5,0,9.45,47.25,0
SP15,,,,,Men,,"100% Cotton mini Herringbone 150x78/32x32
Fabric Width: 57/58""
Cuttable: 56""",,43.05,37.8,77.49,37.8,0,12.6,49.35,0
SP15,,Apparel,Bottoms,Pants,Men,WOVEN,"100% Cotton mini Herringbone printed, 150x78/32x32
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,46.2,30.45,66.99,31.5,0,9.45,47.25,0
SP15,WOVEN,Apparel,Bottoms,Pants,Men,WOVEN,"100% Cotton mini Herringbone Printed, 150x78/32x32
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,46.2,37.8,83.16,37.8,0,12.6,49.35,0
SP15,,Apparel,Bottoms,Pants,Men,WOVEN,"70% Cotton, 30% Nylon, 150x74/32//x140D",BANGLADESH,43.05,32.025,65.65125,46.83,0,12.6,48.09,0
SP15,,Apparel,Bottoms,Pants,Men,WOVEN,"70% Cotton, 30% Nylon, 150x74/32//x140D",BANGLADESH,43.05,40.425,82.87125,45.78,0,16.38,55.65,0
SP15,,,,,Men,,"100% Cotton Peach Twill,138x81/21x16
Fabric Width : 57""/58""
Cuttable : 56""",,44.31,33.306,70.27566,34.02,0,9.03,45.15,0
SP15,,,,,Men,,"100% Cotton Peach Twill,138x81/21x16
Fabric Width : 57""/58""
Cuttable : 56""",,44.31,39.9,84.189,61.53,0,10.5,50.4,0
SP15,,Apparel,Bottoms,Pants,Men,WOVEN,"70% Cotton, 30% Nylon, 150x74/32//x140D",BANGLADESH,43.05,32.025,65.65125,63.63,0,12.6,48.09,0
SP15,,,,,Men,,"70% Cotton, 30% Nylon, 150x74/32//x140D,",,43.05,40.425,82.87125,65.1,0,16.38,55.65,0
SP15,,Apparel,Bottoms,Pants,Men,WOVEN,"100% Cotton Peach Twill,138x81/21x16
Fabric Width : 57""/58""
Cuttable : 56""",BANGLADESH,44.31,33.306,70.27566,50.82,0,9.03,45.15,0
SP15,,,,,Men,,"100% Cotton Denim, 12.00oz, 8 rsl + 10 oe X 10 oe / 71 X 56)",,59.85,29.82,84.987,44.52,0,28.35,35.7,0
SP15,,,,,Men,,"100% Cotton Denim, 12.00oz, 8 rsl + 10 oe X 10 oe / 71 X 56)",,59.85,35.28,100.548,48.93,0,31.5,40.95,0
SP15,,,,,Men,,"100% Cotton Denim, 12.00oz, 8 rsl + 10 oe X 10 oe / 71 X 56)",,59.85,29.82,84.987,44.94,0,14.7,35.7,0
SP15,,,,,Men,,"100% Cotton Denim, 12.00oz, 8 rsl + 10 oe X 10 oe / 71 X 56)",,59.85,35.28,100.548,49.35,0,17.85,40.95,0
SP15,,Apparel,Tops,Shirt /Shirt with tie,Men,WOVEN,"100% Cotton,const : 56X50 /16X16 , 145~150GSM",BANGLADESH,48.51,33.81,78.1011,24.15,0,2.52,31.5,0
SP15,,,,,Men,,"100% Cotton y/d,const : 56X50 /16X16 , 145~150GSM",,40.11,35.49,67.7859,24.15,0,2.52,31.5,0
SP15,,Apparel,Tops,Shirt /Shirt with tie,Men,WOVEN,"100% Cotton y/d,const : 56X50 /16X16 , 145~150GSM",BANGLADESH,40.11,37.17,70.9947,24.15,0,2.52,31.5,0
FA15,WOVEN,Apparel,Tops,Shirt /Shirt with tie,Men,WOVEN,"100% Cotton Y/D brushed flannel,cons - 10+10x8/64x40

100% Cotton PFD Twill at back neck,cons - 108x56/16x12

",BANGLADESH,49.77,48.51,114.9687,31.71,0,6.93,35.07,0
FA15,WOVEN,Apparel,Bottoms,Pants,Women,WOVEN,"100Ctn, 80x56/7+12x10 3/1 twill, 10.5 oz, 57""",BANGLADESH,50.19,26.922,64.34358,27.93,0,29.82,31.5,0
FA15,,,,,Women,,"100Ctn, 80x56/7+12x10 3/1 twill, 10.5 oz, 57""",,50.19,26.922,64.34358,26.88,0,29.82,31.5,0
FA15,,,,,Women,,"100Ctn, 80x56/7+12x10 3/1 twill, 10.5 oz, 57""",,50.19,26.922,64.34358,26.25,0,31.5,31.5,0
FA15,,,,,Women,,"85Ctn/14Poly/1Spx, 84x58/7+7+12+10x150D+40D, 10 oz, 56""",,51.45,47.46,116.277,28.98,0,27.93,35.07,0
FA15,,,,,Women,,"85Ctn/14Poly/1Spx, 84x58/7+7+12+10x150D+40D, 10 oz, 56""",,51.45,34.083,83.50335,26.88,0,26.46,31.5,0
FA15,WOVEN,Apparel,Bottoms,Pants,Women,WOVEN,"85Ctn/14Poly/1Spx, 84x58/7+7+12+10x150D+40D, 10 oz, 56""",BANGLADESH,51.45,33.894,83.0403,30.87,0,21.42,33.6,0
FA15,WOVEN,Apparel,Bottoms,Pants,Women,WOVEN,"85Ctn/14Poly/1Spx, 84x58/7+7+12+10x150D+40D, 10 oz, 56""",BANGLADESH,51.45,33.894,83.0403,30.87,0,24.15,33.6,0
FA15,,,,,Women,,"85Ctn/14Poly/1Spx, 84x58/7+7+12+10x150D+40D, 10 oz, 56""",,51.45,33.894,83.0403,28.56,0,24.36,33.6,0
FA15,,,,,Women,,"85Ctn/14Poly/1Spx, 84x58/7+7+12+10x150D+40D, 10 oz, 56""",,51.45,33.894,83.0403,28.56,0,24.15,33.6,0
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"85Ctn/14Poly/1Spx, 84x58/7+7+12+10x150D+40D, 10 oz, 56""",BANGLADESH,51.45,32.97,80.7765,27.93,0,23.73,31.5,0
FA15,,,,,Women,,"81Ctn/18Poly/1Spx, 86x62/9+10x150D+40D, 10 oz, 57""",,51.45,34.65,84.8925,32.13,0,8.61,31.5,0
FA15,,,,,Women,,"81Ctn/18Poly/1Spx, 86x62/9+10x150D+40D, 10 oz, 57""",,51.45,34.65,84.8925,30.45,0,8.61,31.5,0
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"78%Cotton+20%Polyester+2%Elastane 3/1 RHT blue black denim 85x53, 10 oz, 52""",BANGLADESH,67.2,37.8,120.96,41.58,0,39.27,36.75,0
FA15,,,,,Women,,"78%Cotton+20%Polyester+2%Elastane 3/1 RHT blue black denim 85x53, 10 oz, 52""",,67.2,37.8,120.96,38.85,0,39.27,36.75,0
SP15,,Apparel,Jacket / Coat,Jacket / Coat - Jacket/Bomber,Women,WOVEN,79% Cotton 1% Lycra 20% Polyester x-hatch denim 10Rsl+10 X 16 slub L-40D+300DPL-40D/81X54 9.65 oz,BANGLADESH,49.35,40.887,96.08445,42.42,0,27.51,55.86,2.1
SP15,,,,,Women,,"98 CTN/2 SPAN SLUB MICROSAND TWILL, 83X54/12+12X14+70D, 9OZ ",,59.22,38.22,107.7804,42.42,0,12.18,55.86,2.1
SP15,,,,,Women,,79% Cotton 1% Lycra 20% Polyester x-hatch denim 10Rsl+10 X 16 slub L-40D+300DPL-40D/81X54 9.65 oz,,49.35,40.005,94.01175,42.42,0,27.51,55.86,2.1
SP15,,,,,Women,,"98 CTN/2 SPAN SLUB MICROSAND TWILL, 83X54/12+12X14+70D, 9OZ ",,59.22,37.38,105.4116,42.42,0,8.61,55.86,2.1
SP15,,Apparel,Jacket / Coat,Jacket / Coat - Jacket/Bomber,Women,WOVEN,79% Cotton 1% Lycra 20% Polyester x-hatch denim 10Rsl+10 X 16 slub L-40D+300DPL-40D/81X54 9.65 oz,BANGLADESH,49.35,49.98,117.453,44.52,0,31.08,59.43,2.1
SP15,,,,,Women,,"98 CTN/2 SPAN SLUB MICROSAND TWILL, 83X54/12+12X14+70D, 9OZ ",,59.22,47.25,133.245,44.52,0,12.6,59.43,2.1
FA15,,,,,Men,,"81% Cotton 19% Polyester Twill Weave, 110x80/C40sxCVC40s, 114G/SM (for heather color),

100% Cotton Twill Weave, 110x80/C40sxC40s, 114G/SM (for clear color),",,42.21,40.74,81.8874,17.22,0,3.15,28.35,4.62
FA15,,,,,Men,,"CVC 56/44 Faux Heather Twill Weave, 144x80/C45sxC45s, 3.68OZ/YD2",,47.46,38.934,87.99084,17.22,0,3.15,28.434,4.62
FA15,WOVEN,Apparel,Tops,Shirt /Shirt with tie,Men,WOVEN,"100% Cotton 90x80/40x40 Herringbone, ",BANGLADESH,40.53,41.79,80.6547,17.85,0,3.15,28.35,4.62
FA15,WOVEN,Apparel,Tops,Shirt /Shirt with tie,Men,WOVEN,"100% Cotton Y/D Poplin, 112x80/40x40 ",BANGLADESH,31.29,34.02,50.6898,13.65,0,3.15,28.35,4.62
FA15,WOVEN,Apparel,Tops,Shirt /Shirt with tie,Men,WOVEN,60%CTN 40%POLY CVC SINGLE DYED POPLIN LIKE HEATHER EFFECT 120X80 45X45 57/58'',BANGLADESH,31.29,34.02,50.6898,13.65,0,3.15,28.35,4.62
FA15,WOVEN,Apparel,Tops,Shirt /Shirt with tie,Men,WOVEN,"YD Poplin 60/40 Cotton Poly, 120x80/45x45",BANGLADESH,27.51,29.4,38.514,14.7,0,2.52,24.57,4.83
FA15,,,,,Women,,83% Ctn 16% Poly 1% Spx,,49.35,31.29,79.8,36.33,0,32.55,34.65,0
FA15,,,,,Women,,83% Ctn 16% Poly 1% Spx,,49.35,31.29,79.8,36.33,0,37.17,34.65,0
FA15,,,,,Women,,83% Ctn 16% Poly 1% Spx,,49.35,31.29,79.8,36.33,0,34.65,34.65,0
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,32.76,83.286,25.389,0,8.4,31.5,3.26025
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,32.76,83.286,25.389,0,26.67,31.5,3.26025
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,32.76,83.286,25.389,0,34.65,31.5,3.26025
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,32.76,83.286,25.389,0,36.12,31.5,3.26025
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,32.76,83.286,25.389,0,43.47,31.5,3.26025
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,32.76,83.286,25.389,0,8.4,31.5,3.26025
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,32.76,83.286,25.389,0,20.37,31.5,3.26025
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,32.76,83.286,25.389,0,34.65,31.5,3.26025
FA15,,,,,Women,,"72/26.5/1.5 Ctn/Poly/Spx 55"" cut",,63,32.76,104.58,25.389,0,8.4,31.5,3.89907
FA15,WOVEN,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,34.23,87.3705,30.051,0,42.42,38.85,0
FA15,WOVEN,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,34.23,87.3705,30.051,0,40.32,38.85,0
FA15,DENIM,Apparel,Jacket / Coat,Jacket / Coat - Jacket/Bomber,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,34.23,87.3705,30.051,0,40.32,38.85,0
FA15,WOVEN,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,34.23,91.9275,30.051,0,34.65,38.85,0
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,33.6,85.26,27.111,0,20.37,34.65,0
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,33.6,85.26,27.111,0,34.65,34.65,0
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,33.6,201.07353,27.111,0,36.12,34.65,0
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,33.6,85.26,24.591,29.4,37.17,34.65,0
FA15,,,,,Women,,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",,49.35,33.6,85.26,24.591,29.4,37.17,34.65,0
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,34.23,87.3705,27.741,35.7,27.3,38.85,0
FA15,,,,,Women,,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",,49.35,34.23,87.3705,30.051,35.7,27.3,38.85,0
FA15,,,,,Women,,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",,49.35,34.23,87.3705,30.051,35.7,27.3,38.85,0
FA15,,,,,Women,,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",,49.35,34.23,87.3705,27.741,37.8,30.87,38.85,0
FA15,,,,,Women,,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",,49.35,33.6,85.26,24.591,27.3,24.15,34.65,0
FA15,,,,,Women,,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",,49.35,33.6,85.26,26.901,23.1,52.92,34.65,0
FA15,,,,,Women,,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",,49.35,33.6,85.26,26.901,27.3,30.87,34.65,0
FA15,,,,,Women,,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",,49.35,33.6,85.26,26.901,32.55,29.4,34.65,0
FA15,,,,,Women,,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",,49.35,33.6,85.26,26.901,37.8,38.85,34.65,0
FA15,,,,,Women,,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",,49.35,34.23,87.3705,30.051,46.2,29.4,38.85,0
FA15,,,,,Women,,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",,49.35,34.23,87.3705,30.051,46.2,18.9,38.85,0
FA15,DENIM,Apparel,Bottoms,Pants,Women,WOVEN,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",CHINA,49.35,34.23,88.4205,30.051,45.15,41.37,45.15,0
FA15,,,,,Women,,"83% Ctn 16% Poly 1% Spx  9oz denim.  55"" Cut",,49.35,34.23,87.3705,30.051,43.05,30.45,38.85,0
